today,prior,src,level,level_price,first_touch_ts,first_touch_hour,px_at_touch,react_close_60m,react_mfe,react_mae,reversed
2025-10-30,2025-10-28,1h,L0,26008.75,2025-10-30 10:24:00-04:00,10,26027.25,26066.5,71.25,-48.5,True
2025-10-30,2025-10-28,1h,L25,26030.0625,2025-10-30 10:23:00-04:00,10,26022.25,26062.75,76.25,-43.5,True
2025-10-30,2025-10-28,1h,L50,26051.375,2025-10-30 10:17:00-04:00,10,26047.5,26052.75,51.0,-68.75,True
2025-10-30,2025-10-28,1h,L75,26072.6875,2025-10-30 10:10:00-04:00,10,26073.0,26072.25,45.5,-94.25,False
2025-10-30,2025-10-28,1h,L100,26094.0,2025-10-30 10:04:00-04:00,10,26099.5,26049.25,57.5,-120.75,True
2025-10-30,2025-10-28,5m,L0,26037.0,2025-10-30 10:17:00-04:00,10,26047.5,26052.75,51.0,-68.75,True
2025-10-30,2025-10-28,5m,L25,26047.9375,2025-10-30 10:17:00-04:00,10,26047.5,26052.75,51.0,-68.75,True
2025-10-30,2025-10-28,5m,L50,26058.875,2025-10-30 10:13:00-04:00,10,26084.0,26065.0,34.5,-105.25,True
2025-10-30,2025-10-28,5m,L75,26069.8125,2025-10-30 10:10:00-04:00,10,26073.0,26072.25,45.5,-94.25,False
2025-10-30,2025-10-28,5m,L100,26080.75,2025-10-30 10:09:00-04:00,10,26092.5,26057.75,26.0,-113.75,True
2025-10-31,2025-10-28,1h,L0,26008.75,2025-10-31 12:03:00-04:00,12,26023.75,25936.5,30.0,-92.25,False
2025-10-31,2025-10-28,1h,L25,26030.0625,2025-10-31 12:00:00-04:00,12,26021.75,25942.75,32.0,-90.25,False
2025-10-31,2025-10-28,1h,L50,26051.375,2025-10-31 11:56:00-04:00,11,26072.0,25953.25,0.5,-124.75,True
2025-10-31,2025-10-28,1h,L75,26072.6875,2025-10-31 10:04:00-04:00,10,26064.75,26162.0,116.75,-7.75,False
2025-10-31,2025-10-28,1h,L100,26094.0,2025-10-31 10:00:00-04:00,10,26089.5,26161.25,92.0,-32.5,False
2025-10-31,2025-10-28,5m,L0,26037.0,2025-10-31 12:00:00-04:00,12,26021.75,25942.75,32.0,-90.25,False
2025-10-31,2025-10-28,5m,L25,26047.9375,2025-10-31 11:56:00-04:00,11,26072.0,25953.25,0.5,-124.75,False
2025-10-31,2025-10-28,5m,L50,26058.875,2025-10-31 10:04:00-04:00,10,26064.75,26162.0,116.75,-7.75,True
2025-10-31,2025-10-28,5m,L75,26069.8125,2025-10-31 10:04:00-04:00,10,26064.75,26162.0,116.75,-7.75,False
2025-10-31,2025-10-28,5m,L100,26080.75,2025-10-31 10:00:00-04:00,10,26089.5,26161.25,92.0,-32.5,False
2025-10-31,2025-10-30,1h,L0,25941.5,2025-10-31 12:58:00-04:00,12,25936.5,25943.5,44.25,-48.75,True
2025-10-31,2025-10-30,1h,L25,25992.9375,2025-10-31 12:11:00-04:00,12,25992.5,25916.5,44.25,-87.5,False
2025-10-31,2025-10-30,1h,L50,26044.375,2025-10-31 12:00:00-04:00,12,26021.75,25942.75,32.0,-90.25,True
2025-10-31,2025-10-30,1h,L75,26095.8125,2025-10-31 10:00:00-04:00,10,26089.5,26161.25,92.0,-32.5,False
2025-10-31,2025-10-30,1h,L100,26147.25,2025-10-31 10:36:00-04:00,10,26138.5,26128.75,44.5,-12.0,True
2025-10-31,2025-10-30,5m,L0,25963.75,2025-10-31 12:19:00-04:00,12,25962.75,25900.75,74.0,-68.75,False
2025-10-31,2025-10-30,5m,L25,25992.3125,2025-10-31 12:11:00-04:00,12,25992.5,25916.5,44.25,-87.5,False
2025-10-31,2025-10-30,5m,L50,26020.875,2025-10-31 12:00:00-04:00,12,26021.75,25942.75,32.0,-90.25,True
2025-10-31,2025-10-30,5m,L75,26049.4375,2025-10-31 11:56:00-04:00,11,26072.0,25953.25,0.5,-124.75,True
2025-10-31,2025-10-30,5m,L100,26078.0,2025-10-31 10:04:00-04:00,10,26064.75,26162.0,116.75,-7.75,False
2025-11-03,2025-10-28,1h,L0,26008.75,2025-11-03 10:36:00-05:00,10,26032.75,26075.0,79.75,-20.0,True
2025-11-03,2025-10-28,1h,L25,26030.0625,2025-11-03 10:28:00-05:00,10,26036.5,26062.25,76.0,-23.75,True
2025-11-03,2025-10-28,1h,L50,26051.375,2025-11-03 10:26:00-05:00,10,26043.25,26058.5,69.25,-30.5,True
2025-11-03,2025-10-28,1h,L75,26072.6875,2025-11-03 10:25:00-05:00,10,26070.0,26073.25,42.5,-57.25,False
2025-11-03,2025-10-28,1h,L100,26094.0,2025-11-03 10:05:00-05:00,10,26095.0,26076.5,60.0,-82.25,True
2025-11-03,2025-10-28,5m,L0,26037.0,2025-11-03 10:26:00-05:00,10,26043.25,26058.5,69.25,-30.5,True
2025-11-03,2025-10-28,5m,L25,26047.9375,2025-11-03 10:26:00-05:00,10,26043.25,26058.5,69.25,-30.5,True
2025-11-03,2025-10-28,5m,L50,26058.875,2025-11-03 10:26:00-05:00,10,26043.25,26058.5,69.25,-30.5,True
2025-11-03,2025-10-28,5m,L75,26069.8125,2025-11-03 10:25:00-05:00,10,26070.0,26073.25,42.5,-57.25,False
2025-11-03,2025-10-28,5m,L100,26080.75,2025-11-03 10:16:00-05:00,10,26085.75,26066.0,28.25,-73.0,True
2025-11-03,2025-10-30,1h,L50,26044.375,2025-11-03 10:26:00-05:00,10,26043.25,26058.5,69.25,-30.5,True
2025-11-03,2025-10-30,1h,L75,26095.8125,2025-11-03 10:05:00-05:00,10,26095.0,26076.5,60.0,-82.25,True
2025-11-03,2025-10-30,1h,L100,26147.25,2025-11-03 10:00:00-05:00,10,26115.0,26075.75,40.0,-102.25,True
2025-11-03,2025-10-30,5m,L50,26020.875,2025-11-03 10:30:00-05:00,10,26026.75,26056.5,85.75,-14.0,True
2025-11-03,2025-10-30,5m,L75,26049.4375,2025-11-03 10:26:00-05:00,10,26043.25,26058.5,69.25,-30.5,False
2025-11-03,2025-10-30,5m,L100,26078.0,2025-11-03 10:16:00-05:00,10,26085.75,26066.0,28.25,-73.0,True
2025-11-03,2025-10-31,1h,L0,26080.25,2025-11-03 10:16:00-05:00,10,26085.75,26066.0,28.25,-73.0,False
2025-11-03,2025-10-31,1h,L25,26114.4375,2025-11-03 10:00:00-05:00,10,26115.0,26075.75,40.0,-102.25,False
2025-11-03,2025-10-31,1h,L50,26148.625,2025-11-03 10:00:00-05:00,10,26115.0,26075.75,40.0,-102.25,True
